specialite,zone_inscription,effectifs
Geriatrie,Haute-Savoie,1
Gynecologie medicale,Haute-Savoie,9
Gynecologie-obstetrique,Haute-Savoie,14
Hematologie,Haute-Savoie,0
Gastro-enterologie et hepatologie,Haute-Savoie,8
Medecine du travail,Haute-Savoie,0
Medecine interne,Haute-Savoie,0
Medecine nucleaire,Haute-Savoie,1
Medecine physique et readaptation,Haute-Savoie,1
Nephrologie,Haute-Savoie,3
Neuro-chirurgie,Haute-Savoie,0
Neurologie,Haute-Savoie,7
O.R.L et chirurgie cervico faciale,Haute-Savoie,4
Oncologie option medicale,Haute-Savoie,0
Ophtalmologie,Haute-Savoie,7
Pediatrie,Haute-Savoie,8
Pneumologie,Haute-Savoie,10
Psychiatrie,Haute-Savoie,11
Radio-diagnostic et imagerie medicale,Haute-Savoie,10
Radio-therapie,Haute-Savoie,0
Reanimation medicale,Haute-Savoie,0
Recherche medicale,Haute-Savoie,0
Rhumatologie,Haute-Savoie,1
Sante publique et medecine sociale,Haute-Savoie,0
Generalistes,Haute-Savoie,63
Medecine generale,Haute-Savoie,63
Ensemble des specialites d'exercice,Paris,2483
Specialistes,Paris,2089
Anatomie et cytologie pathologiques,Paris,20
Anesthesie-reanimation,Paris,27
Biologie medicale,Paris,5
Cardiologie et maladies vasculaires,Paris,138
Chirurgie generale,Paris,62
Chirurgie maxillo-faciale et stomatologie,Paris,40
Chirurgie orthopedique et traumatologie,Paris,70
Chirurgie infantile,Paris,9
Chirurgie plastique reconstructrice et esthetique,Paris,64
Chirurgie thoracique et cardio-vasculaire,Paris,7
Chirurgie urologique,Paris,26
Chirurgie vasculaire,Paris,10
Chirurgie viscerale et digestive,Paris,14
Dermatologie et venereologie,Paris,148
Endocrinologie et metabolisme,Paris,47
Genetique medicale,Paris,0
Geriatrie,Paris,6
Gynecologie medicale,Paris,102
Gynecologie-obstetrique,Paris,77
Hematologie,Paris,1
Gastro-enterologie et hepatologie,Paris,73
Medecine du travail,Paris,1
Medecine interne,Paris,31
Medecine nucleaire,Paris,8
Medecine physique et readaptation,Paris,10
Nephrologie,Paris,17
Neuro-chirurgie,Paris,13
Neurologie,Paris,34
O.R.L et chirurgie cervico faciale,Paris,98
Oncologie option medicale,Paris,9
Ophtalmologie,Paris,206
Pediatrie,Paris,76
Pneumologie,Paris,26
Psychiatrie,Paris,387
Radio-diagnostic et imagerie medicale,Paris,148
Radio-therapie,Paris,6
Reanimation medicale,Paris,2
Recherche medicale,Paris,0
Rhumatologie,Paris,71
Sante publique et medecine sociale,Paris,0
Generalistes,Paris,394
Medecine generale,Paris,394
Ensemble des specialites d'exercice,Paris,2308
Specialistes,Paris,1935
Anatomie et cytologie pathologiques,Paris,21
Anesthesie-reanimation,Paris,21
Biologie medicale,Paris,5
Cardiologie et maladies vasculaires,Paris,124
Chirurgie generale,Paris,54
Chirurgie maxillo-faciale et stomatologie,Paris,40
Chirurgie orthopedique et traumatologie,Paris,68
Chirurgie infantile,Paris,12
Chirurgie plastique reconstructrice et esthetique,Paris,61
Chirurgie thoracique et cardio-vasculaire,Paris,7
Chirurgie urologique,Paris,26
Chirurgie vasculaire,Paris,11
Chirurgie viscerale et digestive,Paris,13
Dermatologie et venereologie,Paris,133
Endocrinologie et metabolisme,Paris,46
Genetique medicale,Paris,0
Geriatrie,Paris,4
Gynecologie medicale,Paris,100
Gynecologie-obstetrique,Paris,72
Hematologie,Paris,1
Gastro-enterologie et hepatologie,Paris,65
Medecine du travail,Paris,0
Medecine interne,Paris,31
Medecine nucleaire,Paris,6
Medecine physique et readaptation,Paris,8
Nephrologie,Paris,15
Neuro-chirurgie,Paris,10
Neurologie,Paris,31
O.R.L et chirurgie cervico faciale,Paris,93
Oncologie option medicale,Paris,9
Ophtalmologie,Paris,194
Pediatrie,Paris,68
Pneumologie,Paris,25
Psychiatrie,Paris,351
Radio-diagnostic et imagerie medicale,Paris,132
Radio-therapie,Paris,5
Reanimation medicale,Paris,1
Recherche medicale,Paris,0
Rhumatologie,Paris,71
Sante publique et medecine sociale,Paris,1
Generalistes,Paris,373
Medecine generale,Paris,373
Ensemble des specialites d'exercice,Seine-Maritime,386
Specialistes,Seine-Maritime,245
Anatomie et cytologie pathologiques,Seine-Maritime,5
Anesthesie-reanimation,Seine-Maritime,4
Biologie medicale,Seine-Maritime,0
Cardiologie et maladies vasculaires,Seine-Maritime,27
Chirurgie generale,Seine-Maritime,8
Chirurgie maxillo-faciale et stomatologie,Seine-Maritime,4
Chirurgie orthopedique et traumatologie,Seine-Maritime,11
Chirurgie infantile,Seine-Maritime,5
Chirurgie plastique reconstructrice et esthetique,Seine-Maritime,2
Chirurgie thoracique et cardio-vasculaire,Seine-Maritime,2
Chirurgie urologique,Seine-Maritime,7
Chirurgie vasculaire,Seine-Maritime,2
Chirurgie viscerale et digestive,Seine-Maritime,1
Dermatologie et venereologie,Seine-Maritime,10
Endocrinologie et metabolisme,Seine-Maritime,3
Genetique medicale,Seine-Maritime,0
Geriatrie,Seine-Maritime,0
Gynecologie medicale,Seine-Maritime,9
Gynecologie-obstetrique,Seine-Maritime,15
Hematologie,Seine-Maritime,0
Gastro-enterologie et hepatologie,Seine-Maritime,7
Medecine du travail,Seine-Maritime,0
Medecine interne,Seine-Maritime,1
Medecine nucleaire,Seine-Maritime,0
Medecine physique et readaptation,Seine-Maritime,1
Nephrologie,Seine-Maritime,1
Neuro-chirurgie,Seine-Maritime,3
Neurologie,Seine-Maritime,12
O.R.L et chirurgie cervico faciale,Seine-Maritime,14
Oncologie option medicale,Seine-Maritime,0
Ophtalmologie,Seine-Maritime,17
Pediatrie,Seine-Maritime,13
Pneumologie,Seine-Maritime,10
Psychiatrie,Seine-Maritime,15
Radio-diagnostic et imagerie medicale,Seine-Maritime,20
Radio-therapie,Seine-Maritime,2
Reanimation medicale,Seine-Maritime,0
Recherche medicale,Seine-Maritime,0
Rhumatologie,Seine-Maritime,14
Sante publique et medecine sociale,Seine-Maritime,0
Generalistes,Seine-Maritime,141
Medecine generale,Seine-Maritime,141
Ensemble des specialites d'exercice,Seine-Maritime,368
Specialistes,Seine-Maritime,243
Anatomie et cytologie pathologiques,Seine-Maritime,4
Anesthesie-reanimation,Seine-Maritime,3
Biologie medicale,Seine-Maritime,1
Cardiologie et maladies vasculaires,Seine-Maritime,27
Chirurgie generale,Seine-Maritime,9
Chirurgie maxillo-faciale et stomatologie,Seine-Maritime,4
Chirurgie orthopedique et traumatologie,Seine-Maritime,12
Chirurgie infantile,Seine-Maritime,6
Chirurgie plastique reconstructrice et esthetique,Seine-Maritime,2
Chirurgie thoracique et cardio-vasculaire,Seine-Maritime,2
Chirurgie urologique,Seine-Maritime,6
Chirurgie vasculaire,Seine-Maritime,2
Chirurgie viscerale et digestive,Seine-Maritime,1
Dermatologie et venereologie,Seine-Maritime,11
Endocrinologie et metabolisme,Seine-Maritime,3
Genetique medicale,Seine-Maritime,0
Geriatrie,Seine-Maritime,0
Gynecologie medicale,Seine-Maritime,8
Gynecologie-obstetrique,Seine-Maritime,12
Hematologie,Seine-Maritime,0
Gastro-enterologie et hepatologie,Seine-Maritime,8
Medecine du travail,Seine-Maritime,0
Medecine interne,Seine-Maritime,2
Medecine nucleaire,Seine-Maritime,0
Medecine physique et readaptation,Seine-Maritime,1
Nephrologie,Seine-Maritime,1
Neuro-chirurgie,Seine-Maritime,3
Neurologie,Seine-Maritime,11
O.R.L et chirurgie cervico faciale,Seine-Maritime,14
Oncologie option medicale,Seine-Maritime,0
Ophtalmologie,Seine-Maritime,17
Pediatrie,Seine-Maritime,11
Pneumologie,Seine-Maritime,10
Psychiatrie,Seine-Maritime,15
Radio-diagnostic et imagerie medicale,Seine-Maritime,21
Radio-therapie,Seine-Maritime,2
Reanimation medicale,Seine-Maritime,0
Recherche medicale,Seine-Maritime,0
Rhumatologie,Seine-Maritime,14
Sante publique et medecine sociale,Seine-Maritime,0
Generalistes,Seine-Maritime,125
Medecine generale,Seine-Maritime,125
Ensemble des specialites d'exercice,Seine-et-Marne,366
Specialistes,Seine-et-Marne,250
Anatomie et cytologie pathologiques,Seine-et-Marne,3
Anesthesie-reanimation,Seine-et-Marne,5
Biologie medicale,Seine-et-Marne,2
Cardiologie et maladies vasculaires,Seine-et-Marne,25
Chirurgie generale,Seine-et-Marne,5
Chirurgie maxillo-faciale et stomatologie,Seine-et-Marne,2
Chirurgie orthopedique et traumatologie,Seine-et-Marne,12
Chirurgie infantile,Seine-et-Marne,0
Chirurgie plastique reconstructrice et esthetique,Seine-et-Marne,0
Chirurgie thoracique et cardio-vasculaire,Seine-et-Marne,1
Chirurgie urologique,Seine-et-Marne,8
Chirurgie vasculaire,Seine-et-Marne,1
Chirurgie viscerale et digestive,Seine-et-Marne,1
Dermatologie et venereologie,Seine-et-Marne,11
Endocrinologie et metabolisme,Seine-et-Marne,0
Genetique medicale,Seine-et-Marne,0
Geriatrie,Seine-et-Marne,0
Gynecologie medicale,Seine-et-Marne,13
Gynecologie-obstetrique,Seine-et-Marne,19
Hematologie,Seine-et-Marne,0
Gastro-enterologie et hepatologie,Seine-et-Marne,10
Medecine du travail,Seine-et-Marne,0
Medecine interne,Seine-et-Marne,3
Medecine nucleaire,Seine-et-Marne,1
Medecine physique et readaptation,Seine-et-Marne,0
Nephrologie,Seine-et-Marne,2
Neuro-chirurgie,Seine-et-Marne,1
Neurologie,Seine-et-Marne,2
O.R.L et chirurgie cervico faciale,Seine-et-Marne,15
Oncologie option medicale,Seine-et-Marne,0
Ophtalmologie,Seine-et-Marne,20
Pediatrie,Seine-et-Marne,21
Pneumologie,Seine-et-Marne,13
Psychiatrie,Seine-et-Marne,17
Radio-diagnostic et imagerie medicale,Seine-et-Marne,24
Radio-therapie,Seine-et-Marne,1
Reanimation medicale,Seine-et-Marne,1
Recherche medicale,Seine-et-Marne,0
Rhumatologie,Seine-et-Marne,10
Sante publique et medecine sociale,Seine-et-Marne,1
Generalistes,Seine-et-Marne,116
Medecine generale,Seine-et-Marne,116
Ensemble des specialites d'exercice,Seine-et-Marne,353
Specialistes,Seine-et-Marne,242
Anatomie et cytologie pathologiques,Seine-et-Marne,3
Anesthesie-reanimation,Seine-et-Marne,4
Biologie medicale,Seine-et-Marne,2
Cardiologie et maladies vasculaires,Seine-et-Marne,23
Chirurgie generale,Seine-et-Marne,7
Chirurgie maxillo-faciale et stomatologie,Seine-et-Marne,3
Chirurgie orthopedique et traumatologie,Seine-et-Marne,11
Chirurgie infantile,Seine-et-Marne,0
Chirurgie plastique reconstructrice et esthetique,Seine-et-Marne,0
Chirurgie thoracique et cardio-vasculaire,Seine-et-Marne,1
Chirurgie urologique,Seine-et-Marne,7
Chirurgie vasculaire,Seine-et-Marne,1
Chirurgie viscerale et digestive,Seine-et-Marne,1
Dermatologie et venereologie,Seine-et-Marne,11
Endocrinologie et metabolisme,Seine-et-Marne,1
Genetique medicale,Seine-et-Marne,0
Geriatrie,Seine-et-Marne,0
Gynecologie medicale,Seine-et-Marne,11
Gynecologie-obstetrique,Seine-et-Marne,22
Hematologie,Seine-et-Marne,0
Gastro-enterologie et hepatologie,Seine-et-Marne,10
Medecine du travail,Seine-et-Marne,0
Medecine interne,Seine-et-Marne,3
Medecine nucleaire,Seine-et-Marne,1
Medecine physique et readaptation,Seine-et-Marne,0
Nephrologie,Seine-et-Marne,3
Neuro-chirurgie,Seine-et-Marne,1
Neurologie,Seine-et-Marne,3
O.R.L et chirurgie cervico faciale,Seine-et-Marne,14
Oncologie option medicale,Seine-et-Marne,0
Ophtalmologie,Seine-et-Marne,20
Pediatrie,Seine-et-Marne,18
Pneumologie,Seine-et-Marne,11
Psychiatrie,Seine-et-Marne,17
Radio-diagnostic et imagerie medicale,Seine-et-Marne,23
Radio-therapie,Seine-et-Marne,1
Reanimation medicale,Seine-et-Marne,1
Recherche medicale,Seine-et-Marne,0
Rhumatologie,Seine-et-Marne,8
Sante publique et medecine sociale,Seine-et-Marne,0
Generalistes,Seine-et-Marne,111
Medecine generale,Seine-et-Marne,111
Ensemble des specialites d'exercice,Yvelines,433
Specialistes,Yvelines,325
Anatomie et cytologie pathologiques,Yvelines,3
Anesthesie-reanimation,Yvelines,5
Biologie medicale,Yvelines,1
Cardiologie et maladies vasculaires,Yvelines,31
Chirurgie generale,Yvelines,6
Chirurgie maxillo-faciale et stomatologie,Yvelines,6
Chirurgie orthopedique et traumatologie,Yvelines,15
Chirurgie infantile,Yvelines,1
Chirurgie plastique reconstructrice et esthetique,Yvelines,1
Chirurgie thoracique et cardio-vasculaire,Yvelines,1
Chirurgie urologique,Yvelines,6
Chirurgie vasculaire,Yvelines,1
Chirurgie viscerale et digestive,Yvelines,3
Dermatologie et venereologie,Yvelines,10
Endocrinologie et metabolisme,Yvelines,10
Genetique medicale,Yvelines,0
Geriatrie,Yvelines,1
Gynecologie medicale,Yvelines,13
Gynecologie-obstetrique,Yvelines,30
Hematologie,Yvelines,0
Gastro-enterologie et hepatologie,Yvelines,20
Medecine du travail,Yvelines,0
Medecine interne,Yvelines,1
Medecine nucleaire,Yvelines,3
Medecine physique et readaptation,Yvelines,4
Nephrologie,Yvelines,3
Neuro-chirurgie,Yvelines,0
Neurologie,Yvelines,8
O.R.L et chirurgie cervico faciale,Yvelines,22
Oncologie option medicale,Yvelines,0
Ophtalmologie,Yvelines,32
Pediatrie,Yvelines,21
Pneumologie,Yvelines,7
Psychiatrie,Yvelines,19
Radio-diagnostic et imagerie medicale,Yvelines,25
Radio-therapie,Yvelines,0
Reanimation medicale,Yvelines,0
Recherche medicale,Yvelines,0
Rhumatologie,Yvelines,16
Sante publique et medecine sociale,Yvelines,0
Generalistes,Yvelines,108
Medecine generale,Yvelines,108
Ensemble des specialites d'exercice,Yvelines,357
Specialistes,Yvelines,282
Anatomie et cytologie pathologiques,Yvelines,4
Anesthesie-reanimation,Yvelines,2
Biologie medicale,Yvelines,1
Cardiologie et maladies vasculaires,Yvelines,31
Chirurgie generale,Yvelines,5
Chirurgie maxillo-faciale et stomatologie,Yvelines,4
Chirurgie orthopedique et traumatologie,Yvelines,16
Chirurgie infantile,Yvelines,1
Chirurgie plastique reconstructrice et esthetique,Yvelines,1
Chirurgie thoracique et cardio-vasculaire,Yvelines,0
Chirurgie urologique,Yvelines,6
Chirurgie vasculaire,Yvelines,0
Chirurgie viscerale et digestive,Yvelines,3
Dermatologie et venereologie,Yvelines,7
Endocrinologie et metabolisme,Yvelines,8
Genetique medicale,Yvelines,0
Geriatrie,Yvelines,1
Gynecologie medicale,Yvelines,12
Gynecologie-obstetrique,Yvelines,25
Hematologie,Yvelines,0
Gastro-enterologie et hepatologie,Yvelines,17
Medecine du travail,Yvelines,0
Medecine interne,Yvelines,1
Medecine nucleaire,Yvelines,3
Medecine physique et readaptation,Yvelines,3
Nephrologie,Yvelines,3
Neuro-chirurgie,Yvelines,0
Neurologie,Yvelines,8
O.R.L et chirurgie cervico faciale,Yvelines,21
Oncologie option medicale,Yvelines,0
Ophtalmologie,Yvelines,24
Pediatrie,Yvelines,15
Pneumologie,Yvelines,6
Psychiatrie,Yvelines,16
Radio-diagnostic et imagerie medicale,Yvelines,24
Radio-therapie,Yvelines,0
Reanimation medicale,Yvelines,0
Recherche medicale,Yvelines,0
Rhumatologie,Yvelines,14
Sante publique et medecine sociale,Yvelines,0
Generalistes,Yvelines,75
Medecine generale,Yvelines,75
Ensemble des specialites d'exercice,Deux-Sevres,138
Specialistes,Deux-Sevres,76
Anatomie et cytologie pathologiques,Deux-Sevres,0
Anesthesie-reanimation,Deux-Sevres,4
Biologie medicale,Deux-Sevres,0
Cardiologie et maladies vasculaires,Deux-Sevres,6
Chirurgie generale,Deux-Sevres,7
Chirurgie maxillo-faciale et stomatologie,Deux-Sevres,1
Chirurgie orthopedique et traumatologie,Deux-Sevres,7
Chirurgie infantile,Deux-Sevres,0
Chirurgie plastique reconstructrice et esthetique,Deux-Sevres,0
Chirurgie thoracique et cardio-vasculaire,Deux-Sevres,1
Chirurgie urologique,Deux-Sevres,3
Chirurgie vasculaire,Deux-Sevres,1
Chirurgie viscerale et digestive,Deux-Sevres,2
Dermatologie et venereologie,Deux-Sevres,1
Endocrinologie et metabolisme,Deux-Sevres,0
Genetique medicale,Deux-Sevres,0
Geriatrie,Deux-Sevres,0
Gynecologie medicale,Deux-Sevres,0
Gynecologie-obstetrique,Deux-Sevres,6
Hematologie,Deux-Sevres,0
Gastro-enterologie et hepatologie,Deux-Sevres,5
Medecine du travail,Deux-Sevres,0
Medecine interne,Deux-Sevres,0
Medecine nucleaire,Deux-Sevres,0
Medecine physique et readaptation,Deux-Sevres,0
Nephrologie,Deux-Sevres,0
Neuro-chirurgie,Deux-Sevres,0
Neurologie,Deux-Sevres,2
O.R.L et chirurgie cervico faciale,Deux-Sevres,5
Oncologie option medicale,Deux-Sevres,0
Ophtalmologie,Deux-Sevres,3
Pediatrie,Deux-Sevres,3
Pneumologie,Deux-Sevres,1
Psychiatrie,Deux-Sevres,2
Radio-diagnostic et imagerie medicale,Deux-Sevres,12
Radio-therapie,Deux-Sevres,2
Reanimation medicale,Deux-Sevres,0
Recherche medicale,Deux-Sevres,0
Rhumatologie,Deux-Sevres,2
Sante publique et medecine sociale,Deux-Sevres,0
Generalistes,Deux-Sevres,62
Medecine generale,Deux-Sevres,62
Ensemble des specialites d'exercice,Deux-Sevres,132
Specialistes,Deux-Sevres,72
Anatomie et cytologie pathologiques,Deux-Sevres,1
Anesthesie-reanimation,Deux-Sevres,4
Biologie medicale,Deux-Sevres,0
Cardiologie et maladies vasculaires,Deux-Sevres,7
Chirurgie generale,Deux-Sevres,9
Chirurgie maxillo-faciale et stomatologie,Deux-Sevres,1
Chirurgie orthopedique et traumatologie,Deux-Sevres,6
Chirurgie infantile,Deux-Sevres,0
Chirurgie plastique reconstructrice et esthetique,Deux-Sevres,0
Chirurgie thoracique et cardio-vasculaire,Deux-Sevres,1
Chirurgie urologique,Deux-Sevres,2
Chirurgie vasculaire,Deux-Sevres,1
Chirurgie viscerale et digestive,Deux-Sevres,1
Dermatologie et venereologie,Deux-Sevres,0
Endocrinologie et metabolisme,Deux-Sevres,0
Genetique medicale,Deux-Sevres,0
Geriatrie,Deux-Sevres,0
Gynecologie medicale,Deux-Sevres,0
Gynecologie-obstetrique,Deux-Sevres,3
Hematologie,Deux-Sevres,0
Gastro-enterologie et hepatologie,Deux-Sevres,5
Medecine du travail,Deux-Sevres,0
Medecine interne,Deux-Sevres,0
Medecine nucleaire,Deux-Sevres,0
Medecine physique et readaptation,Deux-Sevres,0
Nephrologie,Deux-Sevres,0
Neuro-chirurgie,Deux-Sevres,0
Neurologie,Deux-Sevres,2
O.R.L et chirurgie cervico faciale,Deux-Sevres,4
Oncologie option medicale,Deux-Sevres,0
Ophtalmologie,Deux-Sevres,3
Pediatrie,Deux-Sevres,2
Pneumologie,Deux-Sevres,1
Psychiatrie,Deux-Sevres,3
Radio-diagnostic et imagerie medicale,Deux-Sevres,12
Radio-therapie,Deux-Sevres,2
Reanimation medicale,Deux-Sevres,0
Recherche medicale,Deux-Sevres,0
Rhumatologie,Deux-Sevres,2
Sante publique et medecine sociale,Deux-Sevres,0
Generalistes,Deux-Sevres,60
Medecine generale,Deux-Sevres,60
Ensemble des specialites d'exercice,Somme,222
Specialistes,Somme,157
Anatomie et cytologie pathologiques,Somme,1
Anesthesie-reanimation,Somme,4
Biologie medicale,Somme,0
Cardiologie et maladies vasculaires,Somme,16
Chirurgie generale,Somme,5
Chirurgie maxillo-faciale et stomatologie,Somme,5
Chirurgie orthopedique et traumatologie,Somme,6
Chirurgie infantile,Somme,1
Chirurgie plastique reconstructrice et esthetique,Somme,3
Chirurgie thoracique et cardio-vasculaire,Somme,4
Chirurgie urologique,Somme,3
Chirurgie vasculaire,Somme,1
Chirurgie viscerale et digestive,Somme,3
Dermatologie et venereologie,Somme,9
Endocrinologie et metabolisme,Somme,1
Genetique medicale,Somme,0
Geriatrie,Somme,0
Gynecologie medicale,Somme,6
Gynecologie-obstetrique,Somme,7
Hematologie,Somme,0
Gastro-enterologie et hepatologie,Somme,12
Medecine du travail,Somme,0
Medecine interne,Somme,1
Medecine nucleaire,Somme,1
Medecine physique et readaptation,Somme,0
Nephrologie,Somme,1
Neuro-chirurgie,Somme,2
Neurologie,Somme,2
O.R.L et chirurgie cervico faciale,Somme,8
Oncologie option medicale,Somme,0
Ophtalmologie,Somme,18
Pediatrie,Somme,9
Pneumologie,Somme,4
Psychiatrie,Somme,8
Radio-diagnostic et imagerie medicale,Somme,10
Radio-therapie,Somme,1
Reanimation medicale,Somme,0
Recherche medicale,Somme,0
Rhumatologie,Somme,5
Sante publique et medecine sociale,Somme,0
Generalistes,Somme,65
Medecine generale,Somme,65
Ensemble des specialites d'exercice,Somme,200
Specialistes,Somme,139
Anatomie et cytologie pathologiques,Somme,0
Anesthesie-reanimation,Somme,4
Biologie medicale,Somme,0
Cardiologie et maladies vasculaires,Somme,15
Chirurgie generale,Somme,6
Chirurgie maxillo-faciale et stomatologie,Somme,4
Chirurgie orthopedique et traumatologie,Somme,4
Chirurgie infantile,Somme,1
Chirurgie plastique reconstructrice et esthetique,Somme,2
Chirurgie thoracique et cardio-vasculaire,Somme,3
Chirurgie urologique,Somme,3
Chirurgie vasculaire,Somme,1
Chirurgie viscerale et digestive,Somme,1
Dermatologie et venereologie,Somme,9
Endocrinologie et metabolisme,Somme,1
Genetique medicale,Somme,0
Geriatrie,Somme,0
Gynecologie medicale,Somme,6
Gynecologie-obstetrique,Somme,7
Hematologie,Somme,0
Gastro-enterologie et hepatologie,Somme,9
Medecine du travail,Somme,0
Medecine interne,Somme,1
Medecine nucleaire,Somme,1
Medecine physique et readaptation,Somme,0
Nephrologie,Somme,2
Neuro-chirurgie,Somme,2
Neurologie,Somme,3
O.R.L et chirurgie cervico faciale,Somme,8
Oncologie option medicale,Somme,0
Ophtalmologie,Somme,13
Pediatrie,Somme,9
Pneumologie,Somme,4
Psychiatrie,Somme,6
Radio-diagnostic et imagerie medicale,Somme,9
Radio-therapie,Somme,1
Reanimation medicale,Somme,0
Recherche medicale,Somme,0
Rhumatologie,Somme,4
Sante publique et medecine sociale,Somme,0
Generalistes,Somme,61
Medecine generale,Somme,61
Ensemble des specialites d'exercice,Tarn,92
Specialistes,Tarn,63
Anatomie et cytologie pathologiques,Tarn,1
Anesthesie-reanimation,Tarn,3
Biologie medicale,Tarn,1
Cardiologie et maladies vasculaires,Tarn,4
Chirurgie generale,Tarn,2
Chirurgie maxillo-faciale et stomatologie,Tarn,2
Chirurgie orthopedique et traumatologie,Tarn,6
Chirurgie infantile,Tarn,0
Chirurgie plastique reconstructrice et esthetique,Tarn,0
Chirurgie thoracique et cardio-vasculaire,Tarn,0
Chirurgie urologique,Tarn,0
Chirurgie vasculaire,Tarn,1
Chirurgie viscerale et digestive,Tarn,3
Dermatologie et venereologie,Tarn,2
Endocrinologie et metabolisme,Tarn,1
Genetique medicale,Tarn,0
Geriatrie,Tarn,0
Gynecologie medicale,Tarn,0
Gynecologie-obstetrique,Tarn,9
Hematologie,Tarn,0
Gastro-enterologie et hepatologie,Tarn,3
Medecine du travail,Tarn,0
Medecine interne,Tarn,0
Medecine nucleaire,Tarn,0
Medecine physique et readaptation,Tarn,1
Nephrologie,Tarn,0
Neuro-chirurgie,Tarn,0
Neurologie,Tarn,0
O.R.L et chirurgie cervico faciale,Tarn,6
Oncologie option medicale,Tarn,0
Ophtalmologie,Tarn,2
Pediatrie,Tarn,2
Pneumologie,Tarn,1
Psychiatrie,Tarn,4
Radio-diagnostic et imagerie medicale,Tarn,8
Radio-therapie,Tarn,0
Reanimation medicale,Tarn,0
Recherche medicale,Tarn,0
Rhumatologie,Tarn,1
Sante publique et medecine sociale,Tarn,0
Generalistes,Tarn,29
Medecine generale,Tarn,29
Ensemble des specialites d'exercice,Tarn,74
Specialistes,Tarn,53
Anatomie et cytologie pathologiques,Tarn,1
Anesthesie-reanimation,Tarn,2
Biologie medicale,Tarn,1
Cardiologie et maladies vasculaires,Tarn,2
Chirurgie generale,Tarn,2
Chirurgie maxillo-faciale et stomatologie,Tarn,2
Chirurgie orthopedique et traumatologie,Tarn,6
Chirurgie infantile,Tarn,0
Chirurgie plastique reconstructrice et esthetique,Tarn,0
Chirurgie thoracique et cardio-vasculaire,Tarn,0
Chirurgie urologique,Tarn,0
Chirurgie vasculaire,Tarn,0
Chirurgie viscerale et digestive,Tarn,3
Dermatologie et venereologie,Tarn,1
Endocrinologie et metabolisme,Tarn,1
Genetique medicale,Tarn,0
Geriatrie,Tarn,1
Gynecologie medicale,Tarn,0
Gynecologie-obstetrique,Tarn,8
Hematologie,Tarn,0
Gastro-enterologie et hepatologie,Tarn,2
Medecine du travail,Tarn,0
Medecine interne,Tarn,0
Medecine nucleaire,Tarn,0
Medecine physique et readaptation,Tarn,1
Nephrologie,Tarn,0
Neuro-chirurgie,Tarn,0
Neurologie,Tarn,1
O.R.L et chirurgie cervico faciale,Tarn,5
Oncologie option medicale,Tarn,0
Ophtalmologie,Tarn,2
Pediatrie,Tarn,1
Pneumologie,Tarn,1
Psychiatrie,Tarn,2
Radio-diagnostic et imagerie medicale,Tarn,7
Radio-therapie,Tarn,0
Reanimation medicale,Tarn,0
Recherche medicale,Tarn,0
Rhumatologie,Tarn,1
Sante publique et medecine sociale,Tarn,0
Generalistes,Tarn,21
Medecine generale,Tarn,21
Ensemble des specialites d'exercice,Tarn-et-Garonne,27
Specialistes,Tarn-et-Garonne,16
Anatomie et cytologie pathologiques,Tarn-et-Garonne,0
Anesthesie-reanimation,Tarn-et-Garonne,1
Biologie medicale,Tarn-et-Garonne,0
Cardiologie et maladies vasculaires,Tarn-et-Garonne,2
Chirurgie generale,Tarn-et-Garonne,0
Chirurgie maxillo-faciale et stomatologie,Tarn-et-Garonne,0
Chirurgie orthopedique et traumatologie,Tarn-et-Garonne,1
Chirurgie infantile,Tarn-et-Garonne,0
Chirurgie plastique reconstructrice et esthetique,Tarn-et-Garonne,0
Chirurgie thoracique et cardio-vasculaire,Tarn-et-Garonne,0
Chirurgie urologique,Tarn-et-Garonne,0
Chirurgie vasculaire,Tarn-et-Garonne,0
Chirurgie viscerale et digestive,Tarn-et-Garonne,0
Dermatologie et venereologie,Tarn-et-Garonne,0
Endocrinologie et metabolisme,Tarn-et-Garonne,1
Genetique medicale,Tarn-et-Garonne,0
Geriatrie,Tarn-et-Garonne,0
Gynecologie medicale,Tarn-et-Garonne,0
Gynecologie-obstetrique,Tarn-et-Garonne,1
Hematologie,Tarn-et-Garonne,0
Gastro-enterologie et hepatologie,Tarn-et-Garonne,0
Medecine du travail,Tarn-et-Garonne,0
Medecine interne,Tarn-et-Garonne,0
Medecine nucleaire,Tarn-et-Garonne,0
Medecine physique et readaptation,Tarn-et-Garonne,0
Nephrologie,Tarn-et-Garonne,0
Neuro-chirurgie,Tarn-et-Garonne,0
Neurologie,Tarn-et-Garonne,2
O.R.L et chirurgie cervico faciale,Tarn-et-Garonne,0
Oncologie option medicale,Tarn-et-Garonne,0
Ophtalmologie,Tarn-et-Garonne,3
Pediatrie,Tarn-et-Garonne,0
Pneumologie,Tarn-et-Garonne,2
Psychiatrie,Tarn-et-Garonne,2
Radio-diagnostic et imagerie medicale,Tarn-et-Garonne,1
Radio-therapie,Tarn-et-Garonne,0
Reanimation medicale,Tarn-et-Garonne,0
Recherche medicale,Tarn-et-Garonne,0
Rhumatologie,Tarn-et-Garonne,0
Sante publique et medecine sociale,Tarn-et-Garonne,0
Generalistes,Tarn-et-Garonne,11
Medecine generale,Tarn-et-Garonne,11
Ensemble des specialites d'exercice,Tarn-et-Garonne,26
Specialistes,Tarn-et-Garonne,16
