prs_nat;l_prs_nat
9542;DEPISTAGE CANCER THYROIDE A 50 %
9543;DEPISTAGE CANCER THYROIDE A 70 %
9544;DEPISTAGE CANCER POUMON A 50 %
9545;DEPISTAGE CANCER POUMON A 70 %
9546;AUTRES CANCERS A 50 %
9547;AUTRES CANCERS A 70 %
9548;DIABETE A 50 %
9549;DIABETE A 70 %
9550;PALUDISME A 50 %
9551;PALUDISME A 70 %
9552;AUTRES MALADIES TROPICALES A 50 %
9553;AUTRES MALADIES TROPICALES A 70 %
9554;OSTEODENSITOMETRIE A 50 %
9555;OSTEODENSITOMETRIE A 70 %
9556;AUTRES ACTES DE PREVENTION 1 A 50 %
9557;AUTRES ACTES DE PREVENTION 1 A 70 %
9558;AUTRES ACTES DE PREVENTION 2 A 50 %
9559;AUTRES ACTES DE PREVENTION 2 A 70 %
9560;AUTRES ACTES DE PREVENTION 3 A 50 %
9561;AUTRES ACTES DE PREVENTION 3 A 70 %
9562;AUTRES ACTES DE PREVENTION 4 A 50 %
9563;AUTRES ACTES DE PREVENTION 4 A 70 %
9564;AUTRES ACTES DE PREVENTION 5 A 50 %
9565;AUTRES ACTES DE PREVENTION 5 A 70 %
9566;TRAITEMENT NICOTINIQUE DE SUBSTITUTION
9567;REMUNERATION ADHESION SOPHIA (PREVENTION)
9568;REMUNERATION RENOUVELLEMENT SOPHIA (PREVENTION)
9569;RETOUR DOM. INSUFFISANT CARDIAQUE
9601;MUTUELLE CHAMBRE PARTICULIERE (CAVIMAC)
9602;FORFAIT DE SOINS INFIRMIERS MUTUELLE SECTEUR MEDICAL (CAVIMAC)
9603;FORFAIT DE SOINS INFIRMIERS MUTUELLE SECTEUR REPOS CONVALESCENCE (CAVIMAC)
9604;MUTUELLE LONG SEJOUR
9701;COMPLEMENT D ACTION SOCIALE APPAREIL DE SURDITE (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX)
9702;COMPLEMENT D ACTION SOCIALE BRIDGE (CLERCS ET EMPLOYES DE NOTAIRES)
9703;COMPLEMENT D ACTION SOCIALE DENTAIRE (CLERCS ET EMPLOYES DE NOTAIRES)
9704;COMPLEMENT D ACTION SOCIALE PROTHESES DENTAIRES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX)
9705;COMPLEMENT D ACTION SOCIALE DENTAIRE ALSACE MOSELLE (CLERCS ET EMPLOYES DE NOTAIRES)
9706;COMPLEMENT D ACTION SOCIALE OPTIQUE (CLERCS ET EMPLOYES DE NOTAIRES)
9707;COMPLEMENT D ACTION SOCIALE OPTIQUE, ENFANT DE MOINS DE 16 ANS (CLERCS ET EMPLOYES DE NOTAIRES)
9708;COMPLEMENT D ACTION SOCIALE MONTURES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX)
9709;COMPLEMENT D ACTION SOCIALE VERRES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX)
9710;COMPLEMENT D ACTION SOCIALE LENTILLES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX)
9711;PRIME DE LAYETTE (CLERCS ET EMPLOYES DE NOTAIRES)
9712;ALLOCATION VOYAGE DES ENFANTS A LA COLONIE DU PRARIAND (CLERCS ET EMPLOYES DE NOTAIRES)
9713;AIDE AUX SEJOURS DES ENFANTS (CLERCS ET EMPLOYES DE NOTAIRES)
9714;ALLOCATION VACANCES (CLERCS ET EMPLOYES DE NOTAIRES)
9715;AIDES FINANCIERES INDIVIDUELLES OPTIQUE
9716;ACTION SOCIALE DENTAIRE
9717;ACTION SOCIALE AUDITIF
9718;ACTION SOCIALE CURE THERMALE
9719;AIDES FINANCIERES INDIVIDUELLES HOSPITALISATION
9721;AIDES FINANCIERES INDIVIDUELLES DIFFICULTES FINANCIERES
9722;AIDES FINANCIERES INDIVIDUELLES AUTRES
9723;VACANCES RETRAITES (CLERCS ET EMPLOYES DE NOTAIRES)
9724;AIDE A LA SCOLARITE (CRPCEN)
9725;ACCUEIL JEUNE ENFANT (CRPCEN)
9731;COMPLEMENT A L'ACS
9732;AIDE A L'ACQUISITION D'UNE COUVERTURE COMPLEMENTAIRE POUR LES VICTIMES DU SEUIL ACS
9741;AIDES AU LOGEMENT
9742;AIDE A LA COMMUNICATION HORS AUDITIF
9743;AIDES A LA DEAMBULATION ET AU TRANSPORT
9744;AUTRES TYPES D AIDES
9751;FOURNITURES ET ACCESSOIRES NON REMBOURSABLES
9752;GARDES MALADES A DOMICILE
9761;AIDES FINANCIERES INDIVIDUELLES ORTHODONTIE
9762;AIDES FINANCIERES INDIVIDUELLES PHARMACIE/LPP
9763;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AU LOGEMENT
9764;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX BESOINS ALIMENTAIRES ET VESTIMENTAIRES
9765;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX FRAIS DE SCOLARISATION
9766;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX REGLEMENTS D'IMPOTS TAXES ET PRIMES
9767;AIDES FINANCIERES A CARACTERE SOCIAL D'ATTENTE DE VERSEMENT DE REVENUS DE SUBSTITUTION
9768;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX FRAIS D'OBSEQUES
9769;AIDES FINANCIERES A CARACTERE SOCIAL PALLIANT L'ABSENCE DE REVENUS
9771;AIDES PROTHESES AUDITIVES
9772;AIDES MENAGERES
9773;AIDES MENAGERES SORTIE D'HOSPITALISATION COORDONNEE
9774;ACTES FOURNITURES SORTIE D'HOSPITALISATION COORDONNEE
9775;AIDES MENAGERES PROGRAMME D'ACCOMPAGNEMENT APRES INTERVENTION ORTHOPEDIQUE
9776;ACTES FOURNITURES PROGRAMME D'ACCOMPAGNEMENT APRES INTERVENTION ORTHOPEDIQUE
9777;PHARMACIE NON REMBOURSABLE SOINS PALLIATIFS
9778;BILANS DE COMPETENCES ET REORIENTATION PROFESSIONNELLE
9801;CODES MIS A LA DISPOSITION DE LA SNCF
9802;CODES MIS A LA DISPOSITION DE LA SNCF
9803;CODES MIS A LA DISPOSITION DE LA SNCF
9804;CODES MIS A LA DISPOSITION DE LA SNCF
9805;CODES MIS A LA DISPOSITION DE LA SNCF
9806;CODES MIS A LA DISPOSITION DE LA SNCF
9807;CODES MIS A LA DISPOSITION DE LA SNCF
9808;CODES MIS A LA DISPOSITION DE LA SNCF
9809;CODES MIS A LA DISPOSITION DE LA SNCF
9810;CODES MIS A LA DISPOSITION DE LA SNCF
9811;CODES MIS A LA DISPOSITION DE LA SNCF
9812;CODES MIS A LA DISPOSITION DE LA SNCF
9813;CODES MIS A LA DISPOSITION DE LA SNCF
9814;CODES MIS A LA DISPOSITION DE LA SNCF
9815;CODES MIS A LA DISPOSITION DE LA SNCF
9816;CODES MIS A LA DISPOSITION DE LA SNCF
9817;CODES MIS A LA DISPOSITION DE LA SNCF
9818;CODES MIS A LA DISPOSITION DE LA SNCF
9819;CODES MIS A LA DISPOSITION DE LA SNCF
9820;CODES MIS A LA DISPOSITION DE LA SNCF
9821;CODES MIS A LA DISPOSITION DE LA SNCF
9822;CODES MIS A LA DISPOSITION DE LA SNCF
9823;CODES MIS A LA DISPOSITION DE LA SNCF
9824;CODES MIS A LA DISPOSITION DE LA SNCF
9825;CODES MIS A LA DISPOSITION DE LA SNCF
9826;CODES MIS A LA DISPOSITION DE LA SNCF
9827;CODES MIS A LA DISPOSITION DE LA SNCF
9828;CODES MIS A LA DISPOSITION DE LA SNCF
9829;CODES MIS A LA DISPOSITION DE LA SNCF
9830;CODES MIS A LA DISPOSITION DE LA SNCF
9831;CODES MIS A LA DISPOSITION DE LA SNCF
9832;CODES MIS A LA DISPOSITION DE LA SNCF
9833;CODES MIS A LA DISPOSITION DE LA SNCF
9834;CODES MIS A LA DISPOSITION DE LA SNCF
9835;CODES MIS A LA DISPOSITION DE LA SNCF
9836;CODES MIS A LA DISPOSITION DE LA SNCF
9837;CODES MIS A LA DISPOSITION DE LA SNCF
9838;CODES MIS A LA DISPOSITION DE LA SNCF
9839;CODES MIS A LA DISPOSITION DE LA SNCF
9840;CODES MIS A LA DISPOSITION DE LA SNCF
9841;CODES MIS A LA DISPOSITION DE LA SNCF
9842;CODES MIS A LA DISPOSITION DE LA SNCF
9843;CODES MIS A LA DISPOSITION DE LA SNCF
9844;CODES MIS A LA DISPOSITION DE LA SNCF
9845;CODES MIS A LA DISPOSITION DE LA SNCF
9846;CODES MIS A LA DISPOSITION DE LA SNCF
9847;CODES MIS A LA DISPOSITION DE LA SNCF
9848;CODES MIS A LA DISPOSITION DE LA SNCF
9849;CODES MIS A LA DISPOSITION DE LA SNCF
9850;CODES MIS A LA DISPOSITION DE LA SNCF
9851;CODES MIS A LA DISPOSITION DE LA SNCF
9852;CODES MIS A LA DISPOSITION DE LA SNCF
9853;CODES MIS A LA DISPOSITION DE LA SNCF
9854;CODES MIS A LA DISPOSITION DE LA SNCF
9855;CODES MIS A LA DISPOSITION DE LA SNCF
9856;CODES MIS A LA DISPOSITION DE LA SNCF
9857;CODES MIS A LA DISPOSITION DE LA SNCF
9858;CODES MIS A LA DISPOSITION DE LA SNCF
9859;CODES MIS A LA DISPOSITION DE LA SNCF
9860;CODES MIS A LA DISPOSITION DE LA SNCF
9861;CODES MIS A LA DISPOSITION DE LA SNCF
9862;CODES MIS A LA DISPOSITION DE LA SNCF
9863;CODES MIS A LA DISPOSITION DE LA SNCF
9864;CODES MIS A LA DISPOSITION DE LA SNCF
9865;CODES MIS A LA DISPOSITION DE LA SNCF
9866;CODES MIS A LA DISPOSITION DE LA SNCF
9867;CODES MIS A LA DISPOSITION DE LA SNCF
9868;CODES MIS A LA DISPOSITION DE LA SNCF
9869;CODES MIS A LA DISPOSITION DE LA SNCF
9870;CODES MIS A LA DISPOSITION DE LA SNCF
9871;CODES MIS A LA DISPOSITION DE LA SNCF
9872;CODES MIS A LA DISPOSITION DE LA SNCF
9873;CODES MIS A LA DISPOSITION DE LA SNCF
9874;CODES MIS A LA DISPOSITION DE LA SNCF
9875;CODES MIS A LA DISPOSITION DE LA SNCF
9876;CODES MIS A LA DISPOSITION DE LA SNCF
9877;CODES MIS A LA DISPOSITION DE LA SNCF
9878;CODES MIS A LA DISPOSITION DE LA SNCF
9879;CODES MIS A LA DISPOSITION DE LA SNCF
9880;CODES MIS A LA DISPOSITION DE LA SNCF
9881;CODES MIS A LA DISPOSITION DE LA SNCF
9882;CODES MIS A LA DISPOSITION DE LA SNCF
9883;CODES MIS A LA DISPOSITION DE LA SNCF
9884;CODES MIS A LA DISPOSITION DE LA SNCF
9885;CODES MIS A LA DISPOSITION DE LA SNCF
9886;CODES MIS A LA DISPOSITION DE LA SNCF
9887;CODES MIS A LA DISPOSITION DE LA SNCF
9888;CODES MIS A LA DISPOSITION DE LA SNCF
9889;CODES MIS A LA DISPOSITION DE LA SNCF
9890;CODES MIS A LA DISPOSITION DE LA SNCF
9891;CODES MIS A LA DISPOSITION DE LA SNCF
9892;CODES MIS A LA DISPOSITION DE LA SNCF
9893;CODES MIS A LA DISPOSITION DE LA SNCF
9894;CODES MIS A LA DISPOSITION DE LA SNCF
9895;CODES MIS A LA DISPOSITION DE LA SNCF
9896;CODES MIS A LA DISPOSITION DE LA SNCF
9897;CODES MIS A LA DISPOSITION DE LA SNCF
9898;CODES MIS A LA DISPOSITION DE LA SNCF
9899;CODES MIS A LA DISPOSITION DE LA SNCF
9901;TRANSPORT POUR PERSONNE ACCOMPAGNANTE (MILITAIRES)
9902;AIDE SOCIALE (MILITAIRES)
9911;AIDE MENAGERE
9912;AIDE MENAGERE FAMILIALE (MILITAIRES)
9999;VALEUR INCONNUE
